;Team;Result;For;Aga;Diff;HTf;HTa;Opposition;Ground;Match Date;TeamRk;OppRk
85;ireland;lost;10.0;16.0;-6.0;10.0;10.0;wales;Lansdowne Road;29/08/2015;84.53575667147521;86.31951972852482
86;japan;won;40.0;0.0;40.0;21.0;0.0;uruguay;Tokyo;29/08/2015;70.933887744776;63.49912802002401
87;canada;won;16.0;15.0;1.0;13.0;10.0;georgia;Esher;02/09/2015;65.3029158960832;70.2042350995648
88;georgia;lost;15.0;16.0;-1.0;10.0;13.0;canada;Esher;02/09/2015;68.71410317921664;66.79304781643137
89;georgia;lost;10.0;13.0;-3.0;7.0;6.0;japan;Gloucester;05/09/2015;67.93608163577257;71.71190928822007
90;ireland;lost;13.0;21.0;-8.0;3.0;12.0;england;Twickenham;05/09/2015;83.4856274526605;85.08459370214271
91;france;won;19.0;16.0;3.0;6.0;9.0;scotland;Stade de France;05/09/2015;80.98611201261185;76.17664295613055
92;italy;lost;19.0;23.0;-4.0;11.0;8.0;wales;Millennium Stadium;05/09/2015;69.54750414792962;86.31951972852482
93;australia;won;47.0;10.0;37.0;14.0;10.0;united states of america;Chicago;05/09/2015;86.98654785600002;71.367803644352
94;wales;won;23.0;19.0;4.0;8.0;11.0;italy;Millennium Stadium;05/09/2015;86.31951972852482;69.54750414792962
95;japan;won;13.0;10.0;3.0;6.0;7.0;georgia;Gloucester;05/09/2015;72.33432652297532;67.31366440101732
96;scotland;lost;16.0;19.0;-3.0;9.0;6.0;france;Stade de France;05/09/2015;75.65758986177867;81.50516510696373
97;united states of america;lost;10.0;47.0;-37.0;10.0;14.0;australia;Chicago;05/09/2015;71.367803644352;86.98654785600002
98;canada;lost;18.0;47.0;-29.0;8.0;30.0;fiji;The Stoop;06/09/2015;66.79304781643137;77.08044399999999
99;tonga;lost;10.0;17.0;-7.0;3.0;10.0;georgia;Gloucester;19/09/2015;74.07213707578173;69.17571692043559
100;france;won;32.0;10.0;22.0;15.0;3.0;italy;Twickenham;19/09/2015;81.50516510696373;69.54750414792962
101;japan;won;34.0;32.0;2.0;10.0;12.0;south africa;Brighton;19/09/2015;74.33432652297532;81.14468017600001
102;canada;lost;7.0;50.0;-43.0;0.0;29.0;ireland;Millennium Stadium;19/09/2015;66.79304781643137;83.4856274526605
103;ireland;won;50.0;7.0;43.0;29.0;0.0;canada;Millennium Stadium;19/09/2015;83.4856274526605;66.79304781643137
104;italy;lost;10.0;32.0;-22.0;3.0;15.0;france;Twickenham;19/09/2015;69.54750414792962;81.50516510696373
105;georgia;won;17.0;10.0;7.0;10.0;3.0;tonga;Gloucester;19/09/2015;70.6653589359702;72.58249506024711
106;south africa;lost;32.0;34.0;-2.0;12.0;10.0;japan;Brighton;19/09/2015;79.46364481069755;76.01536188827778
107;argentina;lost;16.0;26.0;-10.0;13.0;12.0;new zealand;Wembley;20/09/2015;78.15424382399999;92.884528144
108;united states of america;lost;16.0;25.0;-9.0;8.0;14.0;samoa;Brighton;20/09/2015;70.71086287991679;75.4553367644352
109;wales;won;54.0;9.0;45.0;28.0;9.0;uruguay;Millennium Stadium;20/09/2015;86.31951972852482;63.49912802002401
110;new zealand;won;26.0;16.0;10.0;12.0;13.0;argentina;Wembley;20/09/2015;92.884528144;78.15424382399999
111;samoa;won;25.0;16.0;9.0;14.0;8.0;united states of america;Brighton;20/09/2015;75.98088937598337;70.18531026836862
112;australia;won;28.0;13.0;15.0;18.0;3.0;fiji;Millennium Stadium;23/09/2015;86.99593747040001;77.0710543856
113;japan;lost;10.0;45.0;-35.0;7.0;12.0;scotland;Gloucester;23/09/2015;74.46169608430291;77.21125566575354
114;scotland;won;45.0;10.0;35.0;12.0;7.0;japan;Gloucester;23/09/2015;78.29882172853594;73.37413002152051
115;new zealand;won;58.0;14.0;44.0;34.0;6.0;namibia;London;24/09/2015;92.884528144;63.29493500000001
116;namibia;lost;14.0;58.0;-44.0;6.0;34.0;new zealand;London;24/09/2015;63.29493500000001;92.884528144
117;georgia;lost;9.0;54.0;-45.0;9.0;14.0;argentina;Gloucester;25/09/2015;70.28869166917467;78.53091109079553
118;argentina;won;54.0;9.0;45.0;14.0;9.0;georgia;Gloucester;25/09/2015;78.7945781775524;70.0250245824178
119;samoa;lost;6.0;46.0;-40.0;6.0;17.0;south africa;Birmingham;26/09/2015;75.0033026911905;80.44123149549041
120;italy;won;23.0;18.0;5.0;13.0;10.0;canada;Leeds;26/09/2015;70.27205851477979;66.0684934495812
121;south africa;won;46.0;6.0;40.0;17.0;6.0;samoa;Birmingham;26/09/2015;81.12554217484542;74.31899201183549
122;wales;won;28.0;25.0;3.0;9.0;16.0;england;Twickenham;26/09/2015;87.19602712588662;84.20808630478092
123;canada;lost;18.0;23.0;-5.0;10.0;13.0;italy;Leeds;26/09/2015;65.48884995610106;70.85170200825993
124;united states of america;lost;16.0;39.0;-23.0;13.0;6.0;scotland;Leeds;27/09/2015;69.90233698739372;78.58179500951084
125;scotland;won;39.0;16.0;23.0;6.0;13.0;united states of america;Leeds;27/09/2015;78.77987630619327;69.70425569071129
126;australia;won;65.0;3.0;62.0;31.0;3.0;uruguay;Birmingham;27/09/2015;86.99593747040001;63.49912802002401
127;namibia;lost;21.0;35.0;-14.0;7.0;22.0;tonga;Exeter;29/09/2015;63.22369100602472;72.6537390542224
128;tonga;won;35.0;21.0;14.0;22.0;7.0;namibia;Exeter;29/09/2015;72.71073424940263;63.16669581084449
129;canada;lost;18.0;41.0;-23.0;12.0;24.0;france;Milton Keynes;01/10/2015;65.48884995610106;81.50516510696373
130;france;won;41.0;18.0;23.0;24.0;12.0;canada;Milton Keynes;01/10/2015;81.50516510696373;65.48884995610106
131;wales;won;23.0;13.0;10.0;17.0;6.0;fiji;Millennium Stadium;01/10/2015;87.19602712588662;77.0710543856
132;georgia;lost;10.0;43.0;-33.0;10.0;22.0;new zealand;Millennium Stadium;02/10/2015;70.0250245824178;92.884528144
133;new zealand;won;43.0;10.0;33.0;22.0;10.0;georgia;Millennium Stadium;02/10/2015;92.884528144;70.0250245824178
134;samoa;lost;5.0;26.0;-21.0;0.0;20.0;japan;Milton Keynes;03/10/2015;72.67726271328824;75.01585932006776
135;south africa;won;34.0;16.0;18.0;20.0;3.0;scotland;Newcastle;03/10/2015;82.2736922945476;77.6317261864911
136;japan;won;26.0;5.0;21.0;20.0;0.0;samoa;Milton Keynes;03/10/2015;76.16506982905084;71.52805220430517
137;australia;won;33.0;13.0;20.0;17.0;3.0;england;Twickenham;03/10/2015;88.07775979555714;83.12626397962379
138;scotland;lost;16.0;34.0;-18.0;3.0;20.0;south africa;Newcastle;03/10/2015;76.82802110269957;83.07739737833913
139;tonga;lost;16.0;45.0;-29.0;13.0;20.0;argentina;Leicester;04/10/2015;72.1233108386251;79.38200158832993
140;argentina;won;45.0;16.0;29.0;20.0;13.0;tonga;Leicester;04/10/2015;79.79319797587421;71.71211445108082
141;ireland;won;16.0;9.0;7.0;10.0;6.0;italy;London;04/10/2015;83.4856274526605;70.85170200825993
142;italy;lost;9.0;16.0;-7.0;6.0;10.0;ireland;London;04/10/2015;70.85170200825993;83.4856274526605
143;united states of america;lost;0.0;64.0;-64.0;0.0;14.0;south africa;London;07/10/2015;69.70425569071129;83.07739737833913
144;georgia;won;17.0;16.0;1.0;0.0;6.0;namibia;Exeter;07/10/2015;70.33919170526048;62.85252868800182
145;namibia;lost;16.0;17.0;-1.0;6.0;0.0;georgia;Exeter;07/10/2015;62.60119498972768;70.59052540353461
146;south africa;won;64.0;0.0;64.0;14.0;0.0;united states of america;London;07/10/2015;83.07739737833913;69.70425569071129
147;tonga;lost;9.0;47.0;-38.0;3.0;14.0;new zealand;Newcastle;09/10/2015;71.71211445108082;92.884528144
148;new zealand;won;47.0;9.0;38.0;14.0;3.0;tonga;Newcastle;09/10/2015;92.884528144;71.71211445108082
149;australia;won;15.0;6.0;9.0;9.0;6.0;wales;Twickenham;10/10/2015;88.9895865285901;86.28420039285366
150;samoa;lost;33.0;36.0;-3.0;26.0;23.0;scotland;Newcastle;10/10/2015;71.05804909414461;77.29802421286013
151;scotland;won;36.0;33.0;3.0;23.0;26.0;samoa;Newcastle;10/10/2015;77.67402670098858;70.68204660601616
152;wales;lost;6.0;15.0;-9.0;6.0;9.0;australia;Twickenham;10/10/2015;85.55473900642731;89.71904791501645
153;argentina;won;64.0;19.0;45.0;36.0;7.0;namibia;Leicester;11/10/2015;79.79319797587421;62.60119498972768
154;ireland;won;24.0;9.0;15.0;9.0;6.0;france;Millennium Stadium;11/10/2015;84.28758121809082;80.7032113415334
155;france;lost;9.0;24.0;-15.0;6.0;9.0;ireland;Millennium Stadium;11/10/2015;80.06164832918914;84.92914423043509
156;united states of america;lost;18.0;28.0;-10.0;8.0;17.0;japan;Gloucester;11/10/2015;69.35033710454525;76.51898841521688
157;japan;won;28.0;18.0;10.0;17.0;8.0;united states of america;Gloucester;11/10/2015;76.80212328414972;69.06720223561241
158;namibia;lost;19.0;64.0;-45.0;7.0;36.0;argentina;Leicester;11/10/2015;62.60119498972768;79.79319797587421
159;wales;lost;19.0;23.0;-4.0;13.0;12.0;south africa;Twickenham;17/10/2015;84.3070048436185;84.32513154114795
160;france;lost;13.0;62.0;-49.0;13.0;29.0;new zealand;Millennium Stadium;17/10/2015;80.06164832918914;92.884528144
161;south africa;won;23.0;19.0;4.0;12.0;13.0;wales;Twickenham;17/10/2015;85.323318871395;83.30881751337145
162;new zealand;won;62.0;13.0;49.0;29.0;13.0;france;Millennium Stadium;17/10/2015;92.884528144;80.06164832918914
163;argentina;won;43.0;20.0;23.0;20.0;10.0;ireland;Millennium Stadium;18/10/2015;82.06358991405834;82.65875229225095
164;scotland;lost;34.0;35.0;-1.0;16.0;15.0;australia;Twickenham;18/10/2015;77.67402670098858;89.71904791501645
165;australia;won;35.0;34.0;1.0;15.0;16.0;scotland;Twickenham;18/10/2015;89.71904791501645;77.67402670098858
166;ireland;lost;20.0;43.0;-23.0;10.0;20.0;argentina;Millennium Stadium;18/10/2015;81.06947793552206;83.65286427078723
167;south africa;lost;18.0;20.0;-2.0;12.0;7.0;new zealand;Twickenham;24/10/2015;85.0794397986555;93.1284072167395
168;new zealand;won;20.0;18.0;2.0;7.0;12.0;south africa;Twickenham;24/10/2015;93.3235104749311;84.8843365404639
169;australia;won;29.0;15.0;14.0;19.0;9.0;argentina;Twickenham;25/10/2015;90.11242955059353;83.25948263521016
170;argentina;lost;15.0;29.0;-14.0;9.0;19.0;australia;Twickenham;25/10/2015;82.9447773267485;90.4271348590552
171;south africa;won;24.0;13.0;11.0;16.0;0.0;argentina;London;30/10/2015;85.69038061909237;82.13873324812003
172;argentina;lost;13.0;24.0;-11.0;0.0;16.0;south africa;London;30/10/2015;81.49389798521727;86.33521588199514
173;australia;lost;17.0;34.0;-17.0;3.0;16.0;new zealand;Twickenham;31/10/2015;89.36159120143658;94.38905413254972
174;new zealand;won;34.0;17.0;17.0;16.0;3.0;australia;Twickenham;31/10/2015;95.13493469288275;88.61571064110355
175;france;won;23.0;21.0;2.0;10.0;8.0;italy;Stade de France;06/02/2016;80.14065369709621;70.77269664035285
176;italy;lost;21.0;23.0;-2.0;8.0;10.0;france;Stade de France;06/02/2016;70.70949234602719;80.20385799142187
177;scotland;lost;9.0;15.0;-6.0;6.0;7.0;england;Murrayfield;06/02/2016;77.21925042885209;83.58104025176027
178;ireland;draw;16.0;16.0;0.0;13.0;10.0;wales;Lansdowne Road;06/02/2016;80.84554397773712;83.53275147115639
179;canada;won;33.0;17.0;16.0;19.0;7.0;uruguay;Langford;06/02/2016;66.6903916656895;62.29758631043557
180;wales;draw;16.0;16.0;0.0;10.0;13.0;ireland;Lansdowne Road;07/02/2016;83.26403072181446;81.11426472707905
181;united states of america;won;30.0;22.0;8.0;10.0;12.0;canada;TX;13/02/2016;69.82952117862013;65.92807272268179
182;wales;won;27.0;23.0;4.0;10.0;13.0;scotland;Millennium Stadium;13/02/2016;83.65955269251823;76.82372845814832
183;canada;lost;22.0;30.0;-8.0;12.0;10.0;united states of america;TX;13/02/2016;65.31821756827563;70.43937633302629
184;ireland;lost;9.0;10.0;-1.0;9.0;3.0;france;Stade de France;13/02/2016;80.02322405351333;81.29489866498758
185;france;won;10.0;9.0;1.0;3.0;9.0;ireland;Stade de France;13/02/2016;82.16773120384016;79.15039151466075
186;scotland;lost;23.0;27.0;-4.0;13.0;10.0;wales;Millennium Stadium;13/02/2016;76.50731088158531;83.97597026908124
187;italy;lost;9.0;40.0;-31.0;9.0;11.0;england;Rome;14/02/2016;70.70949234602719;83.58104025176027
188;wales;won;19.0;10.0;9.0;6.0;3.0;france;Millennium Stadium;26/02/2016;84.79514636255713;81.34855511036427
189;france;lost;10.0;19.0;-9.0;3.0;6.0;wales;Millennium Stadium;26/02/2016;80.69321423558355;85.45048723733785
190;italy;lost;20.0;36.0;-16.0;10.0;17.0;scotland;Rome;27/02/2016;70.0791651263609;77.1376381012516
191;scotland;won;36.0;20.0;16.0;17.0;10.0;italy;Rome;27/02/2016;77.57886715501799;69.63793607259451
192;ireland;lost;10.0;21.0;-11.0;3.0;6.0;england;Twickenham;27/02/2016;78.59345638837071;84.13797537805031
193;united states of america;lost;25.0;29.0;-4.0;13.0;9.0;uruguay;Montevideo;05/03/2016;68.62519733076722;64.11176531269464
194;georgia;won;24.0;7.0;17.0;10.0;0.0;russia;Sotchi;12/03/2016;70.59052540353461;59.095065
195;italy;lost;15.0;58.0;-43.0;3.0;25.0;ireland;Lansdowne Road;12/03/2016;69.48126411996094;78.75012834100428
196;wales;lost;21.0;25.0;-4.0;0.0;16.0;england;Twickenham;12/03/2016;84.31923605140909;85.26922656397906
197;ireland;won;58.0;15.0;43.0;25.0;3.0;italy;Lansdowne Road;12/03/2016;78.85979870784779;69.37159375311744
198;russia;lost;7.0;24.0;-17.0;0.0;10.0;georgia;Sotchi;12/03/2016;59.095065;70.59052540353461
199;scotland;won;29.0;18.0;11.0;18.0;12.0;france;Murrayfield;13/03/2016;78.89030186307454;79.381779527527
200;france;lost;18.0;29.0;-11.0;12.0;18.0;scotland;Murrayfield;13/03/2016;78.33263176108176;79.93944962951979
201;scotland;lost;25.0;35.0;-10.0;13.0;21.0;ireland;Lansdowne Road;19/03/2016;78.83148453735258;79.96776380001499
202;wales;won;67.0;14.0;53.0;27.0;0.0;italy;Millennium Stadium;19/03/2016;84.31923605140909;69.37159375311744
203;france;lost;21.0;31.0;-10.0;12.0;17.0;england;Stade de France;19/03/2016;78.02629124137148;85.57556708368934
204;italy;lost;14.0;67.0;-53.0;0.0;27.0;wales;Millennium Stadium;19/03/2016;69.37159375311744;84.31923605140909
205;ireland;won;35.0;25.0;10.0;21.0;13.0;scotland;Lansdowne Road;19/03/2016;80.85413587374875;77.94511246361883
206;wales;lost;13.0;27.0;-14.0;13.0;10.0;england;Twickenham;29/05/2016;83.44486915463712;86.44993398046131
207;samoa;draw;19.0;19.0;0.0;3.0;9.0;georgia;Apia;11/06/2016;70.672894485768;70.59967752378277
208;canada;lost;22.0;26.0;-4.0;12.0;13.0;japan;Vancouver;11/06/2016;65.31821756827563;76.80212328414972
209;italy;lost;24.0;30.0;-6.0;16.0;17.0;argentina;Santa Fe;11/06/2016;69.37159375311744;81.49389798521727
210;ireland;won;26.0;20.0;6.0;13.0;13.0;south africa;Cape Town;11/06/2016;82.40224387457339;84.7871078811705
211;argentina;won;30.0;24.0;6.0;17.0;16.0;italy;Santa Fe;11/06/2016;81.49389798521727;69.37159375311744
212;japan;won;26.0;22.0;4.0;13.0;12.0;canada;Vancouver;11/06/2016;76.80212328414972;65.31821756827563
213;georgia;draw;19.0;19.0;0.0;9.0;3.0;samoa;Apia;11/06/2016;70.59235582758426;70.68021618196651
214;tonga;lost;18.0;23.0;-5.0;15.0;0.0;fiji;Suva;11/06/2016;71.24800844453274;77.53516039214807
215;australia;lost;28.0;39.0;-11.0;13.0;19.0;england;Brisbane;11/06/2016;87.39913297503932;87.66651164652554
216;new zealand;won;39.0;21.0;18.0;15.0;18.0;wales;Auckland;11/06/2016;95.13493469288275;83.44486915463712
217;wales;lost;21.0;39.0;-18.0;18.0;15.0;new zealand;Auckland;11/06/2016;83.44486915463712;95.13493469288275
218;south africa;lost;20.0;26.0;-6.0;13.0;13.0;ireland;Cape Town;11/06/2016;83.54862148051079;83.6407302752331
219;italy;won;24.0;20.0;4.0;11.0;10.0;united states of america;San Jose;18/06/2016;70.29695411088241;67.69983697300225
220;tonga;lost;20.0;23.0;-3.0;10.0;13.0;georgia;Suva;18/06/2016;70.1824431828379;71.6579210892791
221;ireland;lost;26.0;32.0;-6.0;19.0;3.0;south africa;Johannesburg;18/06/2016;82.63151939576086;84.55783235998302
222;south africa;won;32.0;26.0;6.0;3.0;19.0;ireland;Johannesburg;18/06/2016;85.3652010635608;81.82415069218308
223;samoa;lost;16.0;26.0;-10.0;16.0;10.0;fiji;Suva;18/06/2016;70.36571060298468;77.84966597112992
224;japan;lost;13.0;26.0;-13.0;10.0;16.0;scotland;Aichi;18/06/2016;75.91642220209663;78.83081354567192
225;new zealand;won;36.0;22.0;14.0;10.0;10.0;wales;Wellington;18/06/2016;95.13493469288275;83.44486915463712
226;georgia;won;23.0;20.0;3.0;13.0;10.0;tonga;Suva;18/06/2016;72.51037329863497;69.32999097348203
227;united states of america;lost;20.0;24.0;-4.0;10.0;11.0;italy;San Jose;18/06/2016;66.95954868679027;71.03724239709439
228;wales;lost;22.0;36.0;-14.0;10.0;10.0;new zealand;Wellington;18/06/2016;83.44486915463712;95.13493469288275
